table_identifier	label_en
ECB_GFS_1A	ECB GFS Guideline, Table 1A: Government revenue and expenditure
ECB_GFS_1B	ECB GFS Guideline, Table 1B: EU budget transactions
ECB_GFS_1C	ECB GFS Guideline, Table 1C: Government final consumption expenditure and other non-financial transactions
ECB_GFS_2A	ECB GFS Guideline, Table 2A: Government deficit and its financing
ECB_GFS_2B	ECB GFS Guideline, Table 2B: Transactions in Maastricht debt - consolidation
ECB_GFS_3A	ECB GFS Guideline, Table 3A: Government gross debt 
ECB_GFS_3B	ECB GFS Guideline, Table 3B: Government gross debt - consolidating elements
EDP_FC	Supplementary tables for the financial crisis
EDP1	EDP Table 1 - Reporting of government deficit/surplus and debt levels
EDP2	EDP Table 2 - Transition between the public accounts budget balance and the central government deficit/surplus
EDP3	EDP Table 3 - Contributions of the deficit/surplus and the other relevant factors to the variation in the debt level and the consolidation of debt
EDP4	EDP Table 4 - Other data in accordance with the statements contained in the Council minutes of 22/11/1993
EDPQ	Questionnaire related to the EDP notification tables
GFS_ALL	ECB GFS Guideline, all GFS tables
IMF_GFS_BS	IMF IFS GFS, Balance sheet
IMF_GFS_S2	IMF GFS Yearbook, Statement II: Statement of sources and uses of cash
IMF_GFS_SO	IMF IFS GFS, Statement of operations
IMF_GFS_T1	IMF GFS Yearbook, Table 1 - Revenue
IMF_GFS_T2	IMF GFS Yearbook, Table 2 - Expense
IMF_GFS_T3	IMF GFS Yearbook, Table 3 - Transactions in assets and liabilities
IMF_GFS_T4	IMF GFS Yearbook, Table 4 - Revaluations in assets and liabilities
IMF_GFS_T5	IMF GFS Yearbook, Table 5 - Other volume changes in assets and liabilities
IMF_GFS_T6	IMF GFS Yearbook, Table 6 - Stock Positions in assets and liabilities
IMF_GFS_T6A	IMF GFS Yearbook, Table 6A - Debt Liabilities at Nominal/Market Value
IMF_GFS_T6B	IMF GFS Yearbook, Table 6B - Debt Liabilities at Face Value
IMF_GFS_T7	IMF GFS Yearbook, Table 7 - Expenditure by Functions of Government (COFOG)
IMF_GFS_T8A	IMF GFS Yearbook, Table 8A - Transactions in financial assets and liabilities by counterpart sector
IMF_GFS_T8B	IMF GFS Yearbook, Table 8B - Stock positions in financial assets and liabilities by counterpart sector
IMF_GFS_T9	IMF GFS Yearbook, Table 9 - Other economic flows in assets and liabilities
