sto	label_en
D4_7	Property income and other current transfers
_X	Unspecified
_Z	Not applicable
ACT	Economically active population
B	Balancing and net worth items 
B10	Changes in net worth 
B101	Changes in net worth due to saving and capital transfers 
B101A	Net transactions in assets and liabilities
B102	Changes in net worth due to other changes in volume of assets 
B103	Changes in net worth due to nominal holding gains and losses
B1031	Changes in net worth due to neutral holding gains and losses 
B1032	Changes in net worth due to real holding gains and losses 
B10K	Changes in net worth due to other changes
B10R	Remaining changes in net worth
B10T	Changes in net worth due to other economic flows
B11	External balance of goods and services 
B111	External balance of goods
B112	External balance of services
B12	Current external balance 
B1G	Value added, gross 
B1GQ	Gross domestic product at market prices
B1GXP119	Value added excluding FISIM
B1N	Value added, net 
B1NQ	Net domestic product at market prices
B2A3G	Operating surplus and mixed income, gross
B2A3N	Operating surplus and mixed income, net
B2AD4	Operating surplus, mixed and net property income
B2G	Operating surplus, gross 
B2N	Operating surplus, net 
B3G	Mixed income, gross 
B3N	Mixed income, net 
B4G	Entrepreneurial income (gross)
B4N	Entrepreneurial income (net)
B5G	Balance of primary incomes, gross / National income, gross 
B5GQ	Gross national income in market prices [deprecated]
B5GQ95	Gross national income (SNA93/ESA95)
B5GQ95XF	Gross national income (SNA93/ESA95) excluding FISIM allocation
B5N	Balance of primary incomes, net / National income, net 
B5NQ	Net national income in market prices [deprecated]
B6G	Disposable income, gross 
B6GA	Disposable income, gross, adjusted for the change in net equity of households in pension funds reserves
B6N	Disposable income, net 
B7G	Adjusted disposable income, gross 
B7N	Adjusted disposable income, net 
B8G	Saving, gross 
B8N	Saving, net 
B9	Net lending(+) / net borrowing (-)
B90	Net worth 
B9F	Net financial transactions
B9FX9	Discrepancy between the financial (B9F) and non-financial (B9) net lending/borrowing
B9P	Net lending/net borrowing excluding interest payable (primary deficit or surplus)
B9XFAM	Net lending (+) / net borrowing (-) excluding government assistance to the financial corporations
BF90	Financial net worth
COM_HW	Hourly compensation
COM_PS	Compensation per employee
D	Distributive transactions 
D1	Compensation of employees 
D1_D29X39	Compensation of employees and other taxes excluding other subsidies on products
D11	Wages and salaries
D12	Employers' social contributions 
D121	Employers' actual social contributions (primary income)
D1211	Employers' actual pension contributions (primary income)
D1212	Employers' actual non-pension contributions (primary income)
D122	Employers' imputed social contributions (primary income)
D1221	Employers' imputed pension contributions (primary income)
D1222	Employers' imputed non-pension contributions (primary income)
D2	Taxes on production and imports 
D21	Taxes on products 
D211	Value added type taxes 
D211E	Value Added Tax paid to the EU
D212	Taxes and duties on imports excluding Value Added Tax 
D2121	Import duties 
D2122	Taxes on imports excluding Value Added Tax and duties 
D2122A	Levies on imported agricultural products
D2122B	Monetary compensatory amounts on imports
D2122C	Excise duties
D2122D	General sales taxes
D2122E	Taxes on specific services
D2122F	Profits of import monopolies
D212K	Customs and other import duties
D213	Export taxes 
D213A	Levies on exported goods and services, other than export duties and monetary comp. amounts on exports
D213B	Profits of export monopolies
D213C	Taxes resulting from multiple exchange rate regimes
D213D	Export taxes, exchange taxes
D214	Taxes on products except Value Added Tax, import and export taxes 
D214A	Excise duties and consumption taxes
D214B	Stamp taxes
D214C	Taxes on financial and capital transactions
D214D	Car registration taxes
D214E	Taxes on entertainment
D214F	Taxes on lotteries, gambling and betting
D214G	Taxes on insurance premiums
D214H	Other taxes on specific services
D214I	General sales or turnover taxes
D214I1	General sales taxes
D214I2	Turnover and other general taxes on goods and services
D214J	Profits of fiscal monopolies
D214K	Export duties and monetary comp. amounts on exports
D214L	Other taxes on products n. e. c.
D21K	Total sales taxes
D21L	Total excises
D21M	General taxes on goods and services
D21N	Taxes on specific services
D21O	Total taxes on exports                                                                        
D21P	Profits of export or import monopolies
D21Q	Total exchange taxes
D21X31	Taxes less subsidies on products
D29	Other taxes on production 
D29A	Taxes on land, buildings or other structures
D29B	Taxes on the use of fixed assets
D29B1	Taxes on the use of motor vehicles
D29B2	Taxes on the use of other machinery or equipment
D29C	Total wage bill and payroll taxes
D29D	Taxes on international transactions
D29E	Business and professional licences
D29F	Taxes on pollution
D29G	Under-compensation of Value Added Tax (flat rate system)
D29H	Other taxes on production n. e. c.
D29H1	Other taxes on production n. e. c.; recurrent taxes on net wealth
D29H2	Other taxes on production n. e. c.; other recurrent taxes on property
D29H3	Other taxes on production n. e. c.; other taxes on goods and services
D29H4	Other taxes on production n. e. c.; other taxes on production
D29X39	Other taxes on production minus other subsidies on production
D2M	Indirect taxes on energy
D2N	Indirect taxes excluding VAT and indirect taxes on energy
D2NOA	Taxes on production and imports, other than for own-account capital formation
D2R	Other taxes on goods and services
D2S	Taxes on goods and services
D2T	Other taxes on international trade and transactions
D2U	Taxes on international trade and transactions
D2X3	Taxes on production and imports less subsidies
D3	Subsidies 
D31	Subsidies on products 
D311	Import subsidies 
D312	Export subsidies 
D319	Other subsidies on products 
D31P	Subsidies on products, payable (positive sign, for reporting in GFS presentation)
D39	Other subsidies on production 
D39P	Other subsidies on production, payable (positive sign, for reporting in GFS presentation)
D39R	Other subsidies on production, receivable (positive sign, for reporting in GFS presentation)
D3P	Subsidies, payable (positive sign, for reporting in GFS presentation)
D4	Property income 
D41	Interest 
D41G	Interest before FISIM allocation
D42	Distributed income of corporations 
D421	Dividends 
D422	Withdrawals from income of quasi-corporations 
D43	Reinvested earnings on FDI (Excluding IF)
D43S	Reinvested earnings on FDI (Including IF)
D44	Other investment income
D441	Investment income attributable to insurance policyholders 
D442	Investment income payable on pension entitlements 
D443	Investment income attributable to collective investment fund share holders 
D4431	Dividends distributed to collective investment fund shareholders (IF)
D4432	Reinvested earnings attributable to collective investment fund shareholders (IF)
D44K	Property income from investment income disbursements
D45	Rent 
D4K	Property income attributed to insurance policy holders and rent
D4M	Interest and rents
D4N	Property income other than interest
D4P	Investment income (D4 less D45) (BOP)
D4R	Investment income
D5	Current taxes on income, wealth, etc. 
D51	Taxes on income 
D51A	Taxes on individual or household income excluding holding gains
D51B	Taxes on the income or profits of corporations excluding holding gains
D51C	Taxes on holding gains
D51C1	Taxes on individual or household holding gains
D51C2	Taxes on holding gains of corporations
D51C3	Other taxes on holding gains n.e.c
D51D	Taxes on winnings from lottery or gambling
D51D1	Taxes on individuals' winnings from lottery or gambling
