instr_asset	label_en
F3VRA	Inflation-linked variable rate
F3VRB	Interest rate-linked variable rate
F3VRC	Asset price-linked variable rate
F3VR	Debt securities, variable rate
N11RG	Fixed assets other than dwellings (gross)
N11RN	Fixed assets other than dwellings (net)
N21111	Land underlying dwellings
N21112	Land underlying other buildings and structures
N211121	Land underlying buildings other than dwellings
N21121	Agricultural land
N21122	Forestry land
N21123	Surface water used for aquaculture
N2111	Land underlying buildings and structures
N2111A	Land underlying dwellings [deprecated, replaced by N21111]
_Z	Not applicable
F	Total financial assets/liabilities 
F_G	Liabilities and assets outside general government under guarantee
F_NG	Total assets/liabilities (financial and gross non-financial)
F_NN	Total assets/liabilities (financial and net non-financial)
F_SPV	Liabilities related to special purpose entities (EDP-FC concept)
F_SPVG	Guarantees provided to special purpose vehicles (FAM concept)
F1	Monetary gold and SDRs 
F11	Monetary gold 
F11A	Gold bullion
F11B	Unallocated gold accounts
F11Z	Monetary gold, of which gold under swap for cash collateral
F12	SDRs 
F12FR	SDRs, fixed rate
F12VR	SDRs, variable rate
F2	Currency and deposits 
F2_F4	Loans, currency and deposits: Currency and deposits + Loans
F21	Currency 
F22	Transferable deposits 
F221	Inter-bank positions 
F221C	Inter-bank positions, of which intra-Eurosystem Technical claims
F221T	Inter-bank positions, of which TARGET accounts
F229	Other transferable deposits 
F2291	Other transferable deposits, except overnight deposits
F29	Other deposits 
F29A	Deposits with agreed maturity
F29B	Deposits redeemable at notice
F29C	Repurchase agreements
F2A	Currency and overnight deposits
F2B	Currency and monetary deposits
F2FR	Currency and deposits, fixed rate
F2M	Deposits
F2MF	Non-monetary deposits
F2MM	Monetary deposits
F2T4	Currency and deposits, debt securities and loans
F2T4_71	Numerator for financial sector leverage
F2T6	Currency and deposits; debt securities; loans; equity and investment fund shares; insurance, pension and standardized guarantee schemes
F2VR	Currency and deposits, variable rate
F3	Debt securities 
F3A	Debt securities, fixed rate issues
F3B	Debt securities, floating rate issues (e.g. variable interest)
F3C	Debt securities, zero coupon bonds
F3D	Debt securities issued with embedded options (puttable bonds)
F3F	Non-monetary securities
F3FR	Debt securities, fixed rate
F3H	High quality tradable securities
F3LS	Securities issued under liquidity schemes
F3M	Monetary securities
F3T4	Debt securities and loans
F4	Loans 
