expenditure	label_en
_T	Total
_TXCP041_042	Total except actual rents
_Z	Not applicable
CP00	All-items HICP
CP01	Food and non-alcoholic beverages
CP011	Food
CP0111	Bread and cereals
CP01111	Rice
CP01112	Flours and other cereals
CP01113	Bread
CP01114	Other bakery products
CP01115	Pizza and quiche
CP01116	Pasta products and couscous
CP01117	Breakfast cereals
CP01118	Other cereal products
CP0112	Meat
CP01121	Beef and veal
CP01122	Pork
CP01123	Lamb and goat
CP01124	Poultry
CP01125	Other meats
CP01126	Edible offal
CP01127	Dried, salted or smoked meat
CP01128	Other meat preparations
CP0113	Fish and seafood
CP01131	Fresh or chilled fish
CP01132	Frozen fish
CP01133	Fresh or chilled seafood
CP01134	Frozen seafood
CP01135	Dried, smoked or salted fish and seafood
CP01136	Other preserved or processed fish and seafood and fish and seafood preparations
CP0114	Milk, cheese and eggs
CP01141	Whole milk
CP01142	Low fat milk
CP01143	Preserved milk
CP01144	Yoghurt
CP01145	Cheese and curd
CP01146	Other milk products
CP01147	Eggs
CP0115	Oils and fats
CP01151	Butter
CP01152	Margarine and other vegetable fats
CP01153	Olive oil
CP01154	Other edible oils
CP01155	Other edible animal fats
CP0116	Fruit
CP01161	Fresh or chilled fruit
CP01162	Frozen fruit
CP01163	Dried fruit and nuts
CP01164	Preserved fruit and fruit-based products
CP0117	Vegetables
CP01171	Fresh or chilled vegetables other than potatoes and other tubers
CP01172	Frozen vegetables other than potatoes and other tubers
CP01173	Dried vegetables, other preserved or processed vegetables
CP01174	Potatoes
CP01175	Crisps
CP01176	Other tubers and products of tuber vegetables
CP0118	Sugar, jam, honey, chocolate and confectionery
CP01181	Sugar
CP01182	Jams, marmalades and honey
CP01183	Chocolate
CP01184	Confectionery products
CP01185	Edible ices and ice cream
CP01186	Artificial sugar substitutes
CP0119	Food products n.e.c.
CP01191	Sauces, condiments
CP01192	Salt, spices and culinary herbs
CP01193	Baby food
CP01194	Ready-made meals
CP01199	Other food products n.e.c.
CP012	Non-alcoholic beverages
CP0121	Coffee, tea and cocoa
CP01211	Coffee
CP01212	Tea
CP01213	Cocoa and powdered chocolate
CP0122	Mineral waters, soft drinks, fruit and vegetable juices
CP01221	Mineral or spring waters
CP01222	Soft drinks
CP01223	Fruit and vegetables juices
CP02	Alcoholic beverages, tobacco and narcotics
CP021	Alcoholic beverages
CP0211	Spirits
CP02111	Spirits and liqueurs
CP02112	Alcoholic soft drinks
CP0212	Wine
CP02121	Wine from grapes
CP02122	Wine from other fruits
CP02123	Fortified wines
CP02124	Wine-based drinks
CP0213	Beer
CP02131	Lager beer
CP02132	Other alcoholic beer
CP02133	Low and non-alcoholic beer
CP02134	Beer-based drinks
CP022	Tobacco
CP0220	Tobacco
CP02201	Cigarettes
CP02202	Cigars
CP02203	Other tobacco products
CP023	Narcotics
CP0230	Narcotics
CP02300	Narcotics
CP03	Clothing and footwear
CP031	Clothing
CP0311	Clothing materials
CP03110	Clothing materials
CP0312	Garments
CP03121	Garments for men
CP03122	Garments for women
CP03123	Garments for infants (0 to 2 years) and children (3 to 13 years)
CP0313	Other articles of clothing and clothing accessories
CP03131	Other articles of clothing
CP03132	Clothing accessories
CP0314	Cleaning, repair and hire of clothing
CP03141	Cleaning of clothing
CP03142	Repair and hire of clothing
CP032	Footwear
CP0321	Shoes and other footwear
CP03211	Footwear for men
CP03212	Footwear for women
CP03213	Footwear for infants and children
CP0322	Repair and hire of footwear
CP03220	Repair and hire of footwear
CP04	Housing, water, electricity, gas and other fuels
CP041	Actual rentals for housing
CP0411	Actual rentals paid by tenants
CP04110	Actual rentals paid by tenants
CP0412	Other actual rentals
CP04121	Actual rentals paid by tenants for secondary residences
CP04122	Garage rentals and other rentals paid by tenants
CP042	Imputed rentals for housing
CP0421	Imputed rentals of owner-occupiers
CP04210	Imputed rentals of owner-occupiers
CP0422	Other imputed rentals
CP04220	Other imputed rentals
CP043	Maintenance and repair of the dwelling
CP0431	Materials for the maintenance and repair of the dwelling
CP04310	Materials for the maintenance and repair of the dwelling
CP0432	Services for the maintenance and repair of the dwelling
CP04321	Services of plumbers
CP04322	Services of electricians
CP04323	Maintenance services for heating systems
CP04324	Services of painters
CP04325	Services of carpenters
CP04329	Other services for maintenance and repair of the dwelling
CP044	Water supply and miscellaneous services relating to the dwelling
CP0441	Water supply
CP04410	Water supply
CP0442	Refuse collection
CP04420	Refuse collection
CP0443	Sewerage collection
CP04430	Sewerage collection
CP0444	Other services relating to the dwelling n.e.c.
CP04441	Maintenance charges in multi-occupied buildings
CP04442	Security services
CP04449	Other services related to dwelling
CP045	Electricity, gas and other fuels
CP0451	Electricity
CP04510	Electricity
CP0452	Gas
CP04521	Natural gas and town gas
CP04522	Liquefied hydrocarbons (butane, propane, etc.)
CP0453	Liquid fuels
CP04530	Liquid fuels
CP0454	Solid fuels
CP04541	Coal
CP04549	Other solid fuels
CP0455	Heat energy
CP04550	Heat energy
CP05	Furnishings, household equipment and routine household maintenance
CP051	Furniture and furnishings, carpets and other floor coverings
CP0511	Furniture and furnishings
CP05111	Household furniture
CP05112	Garden furniture
CP05113	Lighting equipment
CP05119	Other furniture and furnishings
CP0512	Carpets and other floor coverings
CP05121	Carpet and rugs
CP05122	Other floor coverings
CP05123	Services of laying of fitted carpets and floor coverings
CP0513	Repair of furniture, furnishings and floor coverings
CP05130	Repair of furniture, furnishings and floor coverings
CP052	Household textiles
CP0520	Household textiles
CP05201	Furnishings fabrics and curtains
CP05202	Bed linen
CP05203	Table linen and bathroom linen
CP05209	Other household textiles
CP053	Household appliances
CP0531	Major household appliances whether electric or not
CP0531_0532	Major household appliances whether electric or not and small electric household appliances
CP05311	Refrigerators, freezers and fridge-freezers
CP05312	Clothes washing machines, clothes drying machines and dish washing machines
CP05313	Cookers
CP05314	Heaters, air conditioners
CP05315	Cleaning equipment
CP05316	Sewing and knitting machines
CP05319	Other major household appliances
CP0532	Small electric household appliances
CP05321	Food processing appliances
CP05322	Coffee machines, tea-makers and similar appliances
CP05323	Irons
CP05324	Toasters and grills
CP05329	Other small electric household appliances
CP0533	Repair of household appliances
CP05330	Repair of household appliances
CP054	Glassware, tableware and household utensils
CP0540	Glassware, tableware and household utensils
CP05401	Glassware, crystal-ware, ceramic ware and chinaware
CP05402	Cutlery, flatware and silverware
CP05403	Non-electric kitchen utensils and articles
CP05404	Repair of glasseware, tableware and household ustensils
CP055	Tools and equipment for house and garden
CP0551	Major tools and equipment
CP05511	Motorized major tools and equipment
